"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
	"Emmanuel Rosner Okay, that's great color."
	"So instead of getting a partial quarter impact, you get a full quarter impact in Q4."
	South America will remain volatile.
	This way the digital transformation is really fueled by so many things that is the foundation of it is the 360 degree view of the customer and each of the elements of that 360 degree view of the customer important whether it's relative to the use case and the problem that you're trying to solve whether it's sales or service or marketing or commerce.
	"We saw comps accelerate in September, when we initially rolled out carne asada, which is around September 12 or so."
	We now have 1.5 million learners changing their careers and changing their lives on Trailhead.
	"Just hoping you could talk a little bit about some of the investments that you've been making in the institutional business, particularly around data, technology and also the ability to customize."
	"My name is Hector, and I'll be your conference operator today."
	"And to me, it’s a rather sensible."
	"Thanks, Kevin."
	"Marty Flanagan So, we have an enormous amount of investments in our run rate."
	What the number may be here in the as of September 30?
	"So, number of questions there, so let me address them one-by-one."
	"We had a number of significant items in the third quarter that impacted our results, which we highlight in slide two."
	Krista Bessinger Great.
	Reducing friction and providing more convenient access for our guests has been critical to increasing our digital system penetration over the past couple of years.
	"And so, you will see our marketing become more personalized and that will help with retention and driving frequency in our stores."
	We look forward to seeing many of you there at our Annual Analyst Day.
	"The other thing that contributes to is we had a change in accounting a year or so ago which is causing us to recognize unrealized gains where they said there's a subsequent capital raise in a private deal that causes us to have to mark up our position, and it's always been true if one of those companies goes public, but our affiliate still ends up owning shares for a period of time that we write up, we recognize the gain even though we haven't liquidated our position."
	"But because the entire ecosystem and all of our execution engines are so primed, we were able to ship a fair number through the channel."
	We’ve also been able to find more and more opportunities to reuse without impacting our customers view of vehicle is being all-new especially when you look at some of the architectural components.
	I'm wondering how big of an impact you think operations have versus some of the product news you had during the quarter?
	The questions that we're getting from your investor base is that they're trying to gauge how much further investment there needs to be sort of going forward.
	We don’t see sort of big likely to terminates or sort of big ugly story on the downside for institutional.
	"But with respect to the cash flows in this business, we had over $4 billion last year despite some of the MAX dynamics, as Jamie just outlined."
	Total net revenues were $26.5 billion up 10% over the prior year when adjusted for streamline activities and foreign exchange.
	There will also be higher depreciation.
	We have full price trending better which is great for us.
	This is an incredibly strong foundation to build upon.
	So it's consistent.
	"So again, source transaction was very important for us and we see that pace just picking up as we look to the future."
	"With assumptions based on measured improvements in traffic, conversion and new door openings, also supported by an easier prior-year comparison in North America, we expect to see some Q4 improvement."
	It seems like some of those things are at least starting to potentially like shift gear.
	"They were in constant contact with us throughout the work stoppage and ensuring as they would be ready for a prompt, safe restart once the new contract was ratified."
	We are continuing to open new units at an accelerated pace.
	"SUPER is off to a super start for and at this point, it’s a foregone conclusion that we’re going to buy a new graphics card, and it’s going to the last 2, 3, 4 years to not have ray tracing is just crazy."
	You know the Barclays story that we have in the U.K. We have industrial manufacturers in Germany automotive manufacturers who are trying to improve the customer experience and driving 360 degree.
	"And as the integration is completed, we would expect the gross sales levels to come back to at least the pre-acquisition levels."
	"To your question on free cash flow impact, obviously, there's the flow through from the profit impact into free cash flow."
	"As we noted earlier, we have made the strategic decision to reinvest the portion of this upward revision in gross margin, along with underlying cost efficiencies, together approaching $20 million to fund incremental digital and marketing investments in the fourth quarter."
	Vivek Juneja Completely separate question for John.
	The recent strike is obviously had a negative impact on our financial performance in Q3 and more so in Q4.
	We’ve talked for quite some time about how our focus on increasing relevance and ease-of-use will compound into sustainable growth.
	"New store development continues to be our number one driver of growth in China and I'm pleased to say that, our pace of development in Q4 set a new record as we opened 201 net new stores growing store count by 17% versus the prior year."
	Just overall from a profitability perspective as we think about that segment was fiscal 2020 in line with relative to what you originally thought?
	John you want to comment on the-- John Culver I would just say Katherine on the international side we're also rolling the machines out internationally as well.
	"Credit card net charge-offs have been relatively stable as we've been thoughtful in our efforts to generate new account growth, including the launch of our Propel American Express Card last year, and while auto and net charge-offs increased from the second quarter due to seasonality, they were down from a year ago even as we've grown originations by 45%."
	"Revenues of $4.4 billion were up 13% reported and 15% organically, mainly driven by onshore volume up 27%."
	Bill Katz Thank you.
	And that's it for me.
	At the heart of Customer 360 is our incredible community of our Trailblazers.
	So being able to understand the industry and enabling our field organizations and our entire company on understanding an industry and being able to solve the customer problem is a huge part of it.
	"John why don't you -- John Culver Yes, I think Jeffrey this -- what we're seeing in China is a direct result of the digital footprint that we've been able to build there as well as the meaningful innovation that we're bringing products in Modern Mixology and then the innovation that we're doing around our store footprint."
	It’s more about introducing people to the Chipotle experience ongoing.
	So I will quantify that further in February.
	"Last month, we set records for training deep learning neural network models on the latest MLPerf benchmarks, particularly in the most demanding areas."
	We're doing everything we can to build/deliver this incredible vision and we couldn't be more excited to build out our Customer 360 platform organically as well as through the acquisition of some phenomenal companies and some phenomenal talent.
	"On the right-hand side of Slide 9, we provide an update on our run-off insurance portfolio."
	"In fact, the issues we saw this quarter reinforced our confidence in our strategy, both in consumer and ads."
	Thanks.
	"During this call, we may make forward-looking statements based on current expectations."
	Just some of the margin headwinds specifically please?
	Operator Our last question comes from the line of Chris McNally with Evercore.
	Intel’s talked quite openly about One API.
	So that’s what gives us confidence that we’re far from the ceiling on this.
	"So I think EMEA, I think Asia-Pac, Brexit and trade wars, they have just tremendous headwinds for us and against, so posting results in light of that, it's not an excuse, it's just a reality."
	Operator Thank you.
	And some of the customers that we've seen on that platform have really just trounced their competitors.
	So we're just limited with the real estate that we have and then you've got to have the end cap in the right location in order to do a retrofit.
	It's still pretty early.
	We take it’s been very important to change our ways to support our clients and Intelliflo was an important part of that.
	"And in terms of bringing more advertisers to the service, we have a nice business where we help smaller advertisers in reaching their customers on Twitter."
	"In fact, the NVIDIA AI platform is getting progressively faster."
	"Ryan, what we’ve previously talked about is the breakeven level of 10 million to 11 million units for the U.S."
	We see the benefit from interest.
	"We stand out over 3,000 stores, in 100 cities."
	"Services revenue was up 7% driven by mix and commercial services shop visits and total military sales were up 18%, driven by engine unit shipments, up 16% and growth and development programs."
	"I think matching detail that people should be able to understand as that story unfolds, and I think as we finish this work that we do with Charlie and we talk about what the next steps are expense-wise, that's a reasonable expectation from our team."
	Next on Renewable Energy.
	"So, we feel like there is more to come in those three areas, so we'll continue on the pathway we those three important initiatives for us because there's still more to be done in those areas."
	"I’m curious, maybe more from a big picture level, how you’re thinking about Twitter's access to data."
	"And can you just for color, maybe Jack on the marketing stand, I think you said 4% in the fourth quarter, which would lead the full year at 3%."
	"I wish that on the past and choppy markets like we saw this quarter, that was decent backdrop for GTR, just – if you could just talk about what you're seeing on the ground in terms of potential demand?"
	"Two questions, just one following up on the, I guess menu relation."
	"In Healthcare, once you take out Life Sciences, the margin isn't all that exciting really."
	"And that's part of what gives us confidence that we are pushing on the right elements that we think differentiates the Starbucks brand versus alternatives in the market, strengthens the connection between our partners and the customers, driving customer connection scores to an all-time high and in turn driving traffic and growth."
	"In closing, let me highlight upcoming events for the financial community."
	"Goodness, SUPER is off to a super start."
	"So I want to make that very, very clear, but we are committed to the United States and committed to manufacturing in the United States."
	"It is important to note that while this labor agreement is inflationary, we expect to offset incremental economics over the contract period with productivity initiative."
	"David Bergman Hey, Jonathan."
	Thanks.
	Branch customer experience survey scores have increased for five consecutive quarters and reached their highest levels in more than three years in September.
	We are building a broad base of customers across multiple industries as they adopt NVIDIA’s platforms to harness the power of AI.
	We remain on track to deliver double-digit revenue growth in the full year with a solid plan on deliveries.
	"And of these about 2,000 of those are real cost out most of which is felt in the segments and the remainder was pushed to the segments."
	"This reflects lost production of a richer product mix as we launched our high content, high margin heavy-duty crew cab, as well as the impact of last aftermarket sales."
	"So that we can ensure multiple layers of review and better visibility into issues as they emerge, and obviously the goal of all this is to prevent the occurrence of the kinds of issues that we had in the past."
	"So still I think first quarter 2021, as we said."
	Kenneth Lee Great.
	"I'll start off with some thoughts on our performance and our strategic priorities, then Jamie will cover the quarter in detail before I wrap with our updated outlook."
	"Andy, if we did anything, it definitely would be in that kind of 2% range, but no decisions have been made."
	"Colette Kress So to answer your question regarding gross margin in a little bit more detail, probably our largest area that we expect improvement in terms of our mix is our mix return regarding our overall gaming business."
	"Earlier this week, we announced breakthroughs for the fastest training and inference of the state-of-the-art model for natural language process understanding called BERT, or Bidirectional Encoder Representations from Transformers, a breakthrough AI language model that achieves a deeper sense of language, context and meaning."
	"David Long Good morning, everyone."
	I was in the U.K. and Switzerland and France and Italy and meeting with CEOs from various industries in those geographies.
	"Excluding a 7% benefit from unplanned tax favorability and a 1% benefit from streamline-related activities, partially offset by a 1% headwind from foreign exchange, non-GAAP EPS growth was 10% consistent with our long-term EPS growth model of at least 10%."
	"Roz, do you want to take that one for us?"
	"Can you maybe talk about the experience so far in terms of balancing consumers kind of timing when they show up at the restaurant with kind of when the food is ready, and if they show up early, and how you manage through that and kind of how you would expect to manage that as you go forward?"
	I think related to that particular platform that you're talking about our exposures probably less than $0.5 billion.
	Your line is now open.
	"These increases were partially offset by a $2.5 billion reduction in corporate Treasury deposits, the second consecutive quarter of declines."
	It's taught us a lot.
	But we're looking forward to the next chapter and we're set up and we're ready to build and be that great brand that we talk about so often.
	Patrik Frisk Yeah.
	"There's an expression that says, the best decisions are not made in the office."
	"Curious what kind of benefits you're seeing from the new machines both in customer satisfaction, quality, and throughput."
	GeForce has several growth drivers.
	So I'm just wondering whether or not we should expect Americas margins to stabilize or not in 2020 as well?
	You've got to get the flywheel going.
	"And we have a number of luxury retailers some that I can mention by name, but honestly a lot of them, so I just cannot by their own request who have done a tremendous job of integrating their digital experience and their physical experience."
	"The new guidance $4.50 to $4.80, you’re correct, we've subtracted the $2 and arrived at, so it’s the original guidance we gave in January less $2 on the upper end we clipped it by $0.20 as you’ve seen we’ve -- its’ been quite a volatile environment in China as well as the microeconomic of volatility we’re seeing in South America as well the FX environment that we saw earlier in the year, when we gave our guidance was very different from the FX picture that we have today, which is offsetting some of that as well."
	"We completed $2 billion of Capital asset reductions in the quarter, totaling $3.6 billion year-to-date and we're more than halfway through the $10 billion full year target with the signing of PK AirFinance."
	I was hoping to get an update on some of the supply chain initiatives that we’ve been talking about in 2019.
	You may now disconnect.
	We would have added something quite a bit less than 7.5% in terms of the hours.
	"Relative to all the enacted tariff policies that are out there with List 3 and List 4A and 4B, all of that's considered in our outlook and we feel like we're in a really good spot."
	"The only other dis-synergies are the ones we just talked about in terms of the gross sales being abnormally low, some of the kind of a general disruption related to GA conversions."
	"While we continue to work on strike recovery efforts, we anticipate that we have small portion of the losses sustained during this strike can be recovered this year due to capacity constraints."
	And the way we derive that financial benefit is through check and transactions.
	Thank you.
	So the operational team is very focused.
	Roz Brewer Sure.
	"Yes, I don't know."
	"And so, we are seeing a lot of excitement around that area."
	Additionally our drive-through business continues to grow well and you'll see that continue through fiscal year 2020.
	Can you give a little bit more color on the deceleration in the APAC segment?
	"Clearly both at Power and at renewables, I think what's most relevant is where we are and how we play through the energy transition much more so than any economic pressure."
	Thanks very much for all the color.
	Ray tracing content just keeps coming out.
	There was a significant impact year-over-year due to higher losses from consolidating the legacy Alstom JVs and from legacy contracts.
	"And again, I'm encouraged by the progress that I see."
	"And from the learning curve, going back to 2002, making my first trips to – speaking to the right footwear factories, of understanding how we can be there and be effective, of knowing what that would mean and the time that it would take."
	"Additionally, with the lap of the leadership conference in fiscal 2019, we expect year-over-year non-GAAP EPS growth to be at its highest in Q4 for fiscal 2020."
	"In the area of leadership, we made important hires during the third quarter in Technology, Merchant Services, and Wealth Management."
	"I was having a meeting with them, and they took me aside and they said the company that you should acquire is Demandware and here's why."
	Larry Culp Good morning.
	"At the moments of training, competition, and recovery, we continue to see great potential in our ability to better personalize consumer touch points through a sharper, data-driven point of view."
	"Think about MAP, if we can help people realize their objectives with fewer impressions that leaves more impressions for other things without changing how many ads we show to somebody or anything like that."
	"This business remains within the GE family of growing an important P&L in its own right within corporate, which will serve customers in Power Grid, Oil & Gas and select manufacturing industries."
	So is that’s because the bugs are causing deceleration in places like Japan or is it that the users are coming in country [ph] but that may not offer as higher monetization potential.
	Thank you.
	Two questions from me please.
	"Could you talk about, kind of perpetual, because they’re being brought into same in the same discussions around the platforms and how these funds are being sold and you obviously your performance there has been hit?"
	"Headwinds for 2020 include likely lower industry volume, downtime and ramp up for the launch of our full-size SUVs, higher depreciation and continued volatility in China and in South America."
	Dan Levy Just wanted to follow up on the question on this productivity gains.
	"On the servicing side, well I wouldn't expect there to be any revaluation in the fourth quarter."
	"GAAP EPS was $0.90, down 49% from a year earlier."
	"So first of all, does this current agreement have any limitations on specifying limitations on what you can build for EVs?"
	"So you have – with our smart pickup times, you do select a time for when your food is going to be ready and then you show up with it."
	"So going forward, I think the teams will be very focused on making sure that this is as good a business as any GE business."
	"But, ultimately, for us, footwear is playing the long game."
	"Mary Barra I would say we're not going to give you a specific mileage, but they are doing exactly what they indicated, they would do in the summer timeframe."
	"So, over the last few years, we continue to drive forward and increase our footwear gross margin."
	"That, plus the working capital unwind, constitutes most of the 5.5."
	And we’d expect net flows to improve as we complete all phases of the sales integration work through this year and into 2020.
	"And I applaud, the 400,000 green apron partners, who deliver a premium Starbucks Experience to every customer they serve."
	I was in Paris meeting with one of the largest bank’s CEOs in the world.
	We've seen the early success of opening three new brand houses full price in North America in the last quarter.
	"And so, as you think about what's driving in the Q4, continued channel mix benefits with licensing and a higher DTC mix will help us out in Q4."
	You better to respond to the person in real time.
	"So again some of these – be able to continue to manage through it, but any relief is just really powerful."
	Our International segments non-GAAP operating margin increased by 70 basis points to 21.7% in Q4.
	"And if you remember, at the investor day, we laid out that 20-quarter plan and the Protect This House timeframe that we're currently in, that we're turning the corner to in 2020."
	"We presented on Slide 9 of our deck summarizing these expense synergies, this illustrates the combined firms’ representative run rate, annual operating expense base."
	You see the structure we have in place.
	These declines in net interest income were partially offset by favorable balance sheet growth and mix and the benefit of one additional day of the quarter.
	So don’t want to get too far ahead of the fact that it’s relatively short term performance.
	Thank you.
	"That version 2 will always be better than version 1, but you're about to see a really harmonized play come from this company and something we'll be able to deliver on a consistent basis due to the culture and the process that we've been able to implement and put into this brand."
	"Our global installed base allows us to be in close daily contact with customers helping them solve important problems that they are facing, services which turn drive half of our revenue."
	"Krista Bessinger Thank you, operator."
	Your line is open.
	"This is now live in the US, Japan and Canada."
	"But I thought in your response to the prior question, you said that that the $2.905 billion would be the run rate entering in 2020, but I'd thought previously you had said the expense synergies you get there by the time you exit 1Q 2021."
	"Before we get started, I would like to remind you that our third quarter earnings release and quarterly supplement are available on our Web site at wellsfargo.com."
	"To support this growth, we up-leveled our Tmall flagship store in September to offer our Starbucks Rewards members, exclusive products and a tailor-made gift experience."
	"Yes, thanks for recognizing that we are moving towards our expectations that, over time, we’ll continue to see our overall volumes improve."
	And our effective tax rate for the third quarter was approximately 22%.
	"David, thank you for the congratulations."
	That tends to cause our customer to want to get your Chipotlanes even more often.
	"And then just on carne asada, is this – was this intended to be an LTO or what – why are you running out of product and is it just temporary or is it, you’re just going to pause this in-and-out?"
	"So in this case, you’d be able to follow bitcoin if you saw Bitcoin related tweet."
	Operator Your next question comes from the line of Lloyd Walmsley of Deutsche Bank.
	"And third, we remain fully committed to our long-term model of double-digit non-GAAP EPS growth."
	Because we’re still learning there on what we can do with our Chipotle business.
	"These were multiday sessions, not flybys, with robust debates about strategy and priorities, aimed at growing our topline, expanding margins, generating cash and delivering innovation and customer satisfaction for our customers."
	"Throughout fiscal 2019 in the U.S., we invested in our partners, by allocating additional store labor, increasing store-level training, and simplifying in-store tasks, often with new technology."
	We think we have a good plan for how to do that in beyond 2019 and it will be a gradual process for us.
	"As a result, we expect our marketing investment to be at or slightly above 4% in Q4, which will result in the full year investment remaining right around 3% of sales."
	Steve Winoker Great.
	Greg McGreevey Yes.
	And our next question will come from the line of Brad Zelnick from Credit Suisse.
	"So, no real changes there and as we think about next year, we think about a similar set of priorities from a big picture perspective, but it’s too early to lay out our specific plans or think about how that will all play out."
	There - I wouldn't say that we're more costs from the bugs.
	Industrial free cash flow was $650 million for the quarter and $500 million lower than prior year.
	Let’s move to GM International.
	"This was the result of sourcing more supply from Peru, which reduced our reliance on Mexico."
	So no changes to our thinking around cash although the balance has moved around a bit based on the repayment and the cash generation.
	"Autonomous features can bring enormous value to the trucking industry, in particular as the demand of online shopping put ever greater stress on the world’s transport systems."
	Operator Thank you.
	Thank you.
	"We have our steam business, our nuclear business and Power Conversion."
	"In our e-commerce business, we continued to see higher traffic, but lower conversion with relatively flat AUR."
	Jack Dorsey Hey.
	Operator Thank you.
	Underlying G&A with a little lower than expected as we continue to finish rounding out our organizational structure.
	The number of software developers that create – with creative tools that adopted RTX is really quite spectacular.
	"Revenue in North America was down 4% in the quarter, which was in line with the outlook we provided on our last call."
	"So finally, it is still very early days, but from our perspective, the initial results are very strong."
	"When excluding the 60 basis point favorable impact from streamline-related activities, the segment's non-GAAP operating margin increased by 10 basis points as the benefits of sales leverage cost savings initiatives and labor productivity were largely offset by growth in wages and benefits, an unfavorable shift in product mix and strategic investments."
	Net interest income declined $470 million from the second quarter primarily due to balance sheet re-pricing driven by the impact of the lower interest rate environment as well as $133 million of higher MBS premium amortization costs due to higher pre-payments.
	"Well, Saleforce skills are in high demand."
	Thanks for taking my question.
	"Some of it's timing of digital initiatives, timing of office renovations and related efficiencies."
	Only having about 10% of our product that comes into the US being sourced out of China.
	"We took an $0.08 non-cash goodwill impairment charge related to Hydro, eliminating all goodwill associated with that business."
	Please go ahead.
	"There's a couple things that drive that, one is it's a great time to be realizing from both private equity and venture portfolios."
	"We had a smaller business in Europe, but then the rest of the world was Greenfield as it relates to CPG and foodservice channels."
	Most of our 2019 strike-related production losses will not be recovered in 2019 because of capacity constraints.
	"And in particular, a few discrete items, you're talking about downtime and ramp up for the full size SUV, anything you're able to quantify in terms of specifically in the downtime there?"
	"John Shrewsberry Yes, for MBS it's just under $400 million for the quarter and it was just under $250 million for the second quarter, and we think it'll be up a little bit in the fourth quarter."
	"So what I'd like to do is highlight what was unique to Q4, including recent trends impacting our flow through, which primarily relates to two margin drivers within our Americas segment."
	"To this effect, we began responding back in July of 2017 to their request for documents and information."
	We have over 20 products that we've launched.
	This was partially offset by military growth and commercial aftermarket strength.
	They deliver a 2 to 3x performance speed up over GPUs without a dedicated ray tracing core.
	"For those of you who watch what happen, I think just now about a week ago we saw that the Salesforce developer was ranked at the second number two on GlassDoor's list of jobs are the best career opportunities that was amazing for us."
	"So, Jay, maybe I can add a little color to that."
	Welcome to the Salesforce Q2 Fiscal Year 2020 Earnings Conference Call.
	"And than just a host of other restructuring projects where whether we plan conservatively or delivering more effectively, we're getting a better return for our dollar."
	"Just on digital sales, I understand there’s some seasonality, but I was still surprised to see sequentially about the same percentage of sales as digital."
	"We saw organic expansion in Healthcare, but declines in Renewable Energy and Aviation due to negative mix."
	We're in third quarter out of a 20-quarter plan.
	John Culver Yeah.
	"That along with continuing to improve relevance, better formats and moving down the funnel in terms of the types of advertising that is available, those are all things that ought to help us from the auction dynamics perspective."
	"At Industrial, we sold a portion of our Baker Hughes stake for approximately $3 billion of proceeds and we exited Wabtec, bringing in another $1.6 billion."
	I think Jenny went through that in her prepared remarks.
	Kenneth Lee Great.
	"So I can't get too specific at this point, but ultimately, we're still looking at the wide range of opportunities around this integration as we get closer to the business."
	"And so this depth and breadth of investment capabilities has mattered, but right behind it exactly what you're talking about investments in technology around analytics, insights, has been very material."
	Operator Your final question will come from the line of Betsy Graseck with Morgan Stanley.
	"And really when you look at the construct, that plus a little bit of the restructuring side, which Larry talked about, that really makes up sort of the bulk of how we think about the 2019 shifting, but you can glean some of the pieces going into 2020."
	And then the new market that we introduced and launched this last quarter is called RTX Studio.
	This is a combination of things where sometimes it's one event comps against another one like the Men's World Cup in '18 versus the Women's World Cup in '19.
	"Connecting with guests through culturally relevant marketing focused on Chipotle’s great taste and real ingredients, while providing more convenient access is helping lead to greater overall demand."
	And then cost for ad engagement was down 12%.
	Thank you.
	"As a result of the more than 80 restaurants currently at construction, about half of them will have a Chipotlane, which will result in a total of about 60 Chipotlanes by the end of 2019."
	"The recent reclassification of certain line items in the middle of our P&L also meaningfully benefits G&A, while adversely impacting store operating expenses."
	If you look at very strong earnings quarter-over-quarter generating $502 million operating income at 38% improvements as compared to last quarter.
	"Then your next set of questions was around international, so a couple of things to point out there."
	We started deliveries of our heavy duties in Q2 and we have gained 6 percentage points in market share since the launch.
	We are working with Microsoft as an early adopter of these advances.
	You're going to have a full year of heavy-duty trucks and the product launches that I talked about.
	"In EMEA, we form new relationships with HDM in Germany, the largest global manufacturer of offset printing press and fashion retail organization Esprit, both choosing Commerce Cloud in the quarter."
	So I guess that's where my focus is.
	Thanks.
	"The last time a new processor entered into a data center was an x86 Xeon, and you just don’t bring processors in the data centers that frequently or that easily."
	Next question please.
	"We entered China's at-home and food service segments through the alliance, allowing Chinese consumers to enjoy some of their favorite Starbucks coffees in the comfort of their home."
	The biggest drivers of growth were once again the Renewable Energy onshore wind ramp along with Aviation equipment.
	And it's the play we want to continue to run as we go into 2020.
	"And so, we aligned all of the OEMs and created a whole new line of notebooks called RTX Studio."
	"G&A for the quarter was approximately $115 million on a GAAP basis or $105 million on a non-GAAP basis, excluding about $7.5 million for settlements of several legal matters and $2.5 million related to transformation expenses."
	"David Bergman Yeah, Jared."
	We expect cRPO growth of approximately 24% to 25% year-over-year in the third quarter.
	Steve Winoker Great.
	The software stack at Xilinx is progressing with Versal ACAP.
	"Here we have a $17 billion revenue business, smack in the middle of most of that matters in healthcare delivery today."
	Please proceed with your question.
	"But if we assume an environment in 2020, similar to '19, like just back in the envelope, I was sort of just looking at the calendar and counting days and make some assumptions."
	"And just a quick follow-up, is there any way to sort of quantify, I guess, how much investment spend is currently in the expense run rate and how we should think about that, if anything kind of peeling back over the next couple of years or if that get recycled into other investments?"
	Now with Customer 360 we have just never really been better positioned for the future.
	Everyone and everything is getting connected.
	I really appreciate it.
	"Look, it is a – yes, it's really wearing on clients, right."
	And speaking of China development it's worth noting that our store openings in lower-tier cities in China accounted for a meaningfully higher percentage of total store growth in that market versus the prior year.
	We're so pleased about that and so excited about that.
	"Upgrades, we see good demand."
	Other operating costs for the quarter were 12.8% a decrease of 90 basis points from Q3 of last year due to lower marketing and promo cost as well as sales leverage.
	I think there are few important takeaways from this chart.
	It is the first model in South America from our new global family of vehicles and carries a five star safety rating.
	"The other thing that we’re doing and experimenting with right now on iOS, it's a small rollout so far, but we intend to expand it soon."
	"Health care companies, you name it."
	"And, something we’re going to work on going forward, given the response we’ve seen is, okay, how do we work on the supply of steak in that particular cut to be consistent with our Food With Integrity principles to give us the flexibility to do it beyond just the seasonal program."
	"Strides that are beginning to harness the energy, power and strength necessary to deliver prudently as we work to grow our brand over the long-term."
	"Finally, I want to briefly touch on 2020."
	Or is there any kind of scope so we can work as we think through 4Q and into 2020?
	"The 2020 Bolt also retains what our customers love about this vehicle, instant torque, excellent riding handling, and a zero to 60 times of just 6.5 seconds."
	These valuation adjustments resulted in our mortgage banking revenue declining from the second quarter despite an increase in mortgage originations and higher production margins.
	"I'm not sure we're in a position to quantify that specifically today for you as those conversations are ongoing, but that's really what's happening."
	"So, when you take all of those together we believe that it is prudent to guide to comp growth in China in the range of 1% to 3% again consistent with our ongoing model."
	John Shrewsberry Sure.
	"Jack Hartung Thanks, Brian and good afternoon, everyone."
	Walking through our segments on slide 8 starting with Power.
	And our next question will come from our Richard Davis with Canaccord.
	We gamers could churn products quickly because they’re bought and sold one at a time.
	"Some of them professionals, some of them hobbyists."
	"Clearly, in China this past year, we've seen a significant step forward in our digital customer relationships."
	Would you guys expect that this translates into a double-digit percentage sequential growth in data center in Q3 off of the low base in Q2?
	"I would now like to turn the call over to John Campbell, Director of Investor Relations."
	"Matt O'Connor Okay, and I was kind of thinking 250 is broadly speaking, but that is helpful."
	Our researchers won several Best in Show awards.
	"Our expenses increased $1.4 billion from a year ago, driven by $1.3 billion of higher operating losses reflecting higher litigation accruals."
	"But you know what the key things that we've done is light-weighting because light-weighting is so important across every component and from a body structures perspective, that light weighting generally requires a little bit more labor."
	The other reality is the demands on clients have never been – from clients has never been stronger.
	We also discovered that certain personalization and data settings were not operating as expected.
	"As great as carne asada taste, it’s success is amplified by all elements of our strategy coming together in unison."
	"Chipotlane, we’ve only got 20 Chipotlane restaurants right now, but we’re going to have 60 by the end of the year."
	AI is the most powerful technology force of our time and a once-in-a-lifetime opportunity.
	We maintained strong capital levels even as we reduced common shares outstanding by 9% and increased our quarterly common stock dividend by 19% from a year ago.
	This growth was partially offset by pay downs as well as sales of $510 million of PCI mortgage loans.
	Moving to Aviation.
	But please do keep in mind that this assumes FX and market conditions are in line roughly with the end of Q3 levels.
	"And so looking forward, this is what I expect."
	Brennan Hawken Good morning.
	"The – to put sales force point in clarity as we've said in the past, literally the sales force now represents half of old Invesco, old OFI."
	"Eric Compton Absolutely, you said 2006 you meant 16?"
	And we look forward to sharing more details with you in the weeks ahead.
	"As we've discussed, we're raising our Industrial free cash flow guidance again."
	But let me take a step back and address the spirit of your question.
	Brian Niccol Yes.
	"Before we start, I'd like to remind you that the press release presentation and 10-Q are available on our website."
	"I think in terms downside, there isn’t a ton of downsides."
	Jay Sole Got it.
	Our light duty pickup trucks improved 6.8% at retail in Q3 year-over-year to over 40% as we rolled out diesel and other cab variants.
	"This was partially offset by the impact of this strike, warranty costs and lower pension and health."
	Operator Your next question comes from the line of Eric Compton with Morningstar.
	Thank you.
	"My question actually is about the new espresso machines that you guys were trialing and testing, but it looks like you're rolling them out a little bit more broadly here."
	thank you.
	Is any update on how you're thinking about that and then managing expenses with that mind?
	"Erika Najarian Got it, thank you."
	It still actually appeals to a lot of people in principle in terms of what it's trying to achieve as an outcome in a lower risk than the equity markets with good return over cash.
	So right now we're kind of crossing our fingers and hope that everything continues to look stable.
	Thank you.
	"So I've never been more excited about our ability to create more success for our customers that with the strategy, that's what I would say."
	"Well, I want to just thank you, John for introducing that and also thank you everybody for being on the call today."
	"And then, can I ask you just for some clarity on footwear side of things."
	Brian Niccol Yes.
	"And again, 2020, MAX a little bit TBD and we do expect that accrued discounts and allowances to also shift downward, which we'll see some pressure there but some goodness from MAX, hopefully."
	And we just had a great market opportunity in front of us to serve our customer.
	Or is it just food or other things that are going on?
	"We ended with backlog of $386 billion, up 14% year-over-year."
	"Secondly, we're seeing better performance across a couple of our businesses; so strength in aviation services, coupled with some incrementally better Healthcare performance."
	"Q2 revenue was $2.58 billion, in line with our outlook, down 17% year-on-year and up 16% sequentially."
	"Jamie Miller Good morning, Nicole."
	"And we feel good about how we have thought about Q4 in terms of being balanced there, so I hope that gives a little bit more color adding to what Dave said."
	"David Bergman Right now, we're in a very good position."
	Power remains on track to deliver its 2019 outlook of organic revenues down high single-digits and positive segment margins.
	"GE is a company with vast industrial strength due to our team, our technology and our global network."
	"We still plan to contribute $4 billion in total to GE Capital in 2019, including $2.5 billion in the fourth quarter."
	Lower-priced has been gaining some traction for some time.
	Brian Niccol Yes.
	"And do you think that do EV is require less labor then internal combustion vehicles, all else equal?"
	"Roz, why don't you take the first question on the digitally registered customers that Sharon asked."
	Your line is open.
	"Marc, I wanted to ask you, we're witnessing such a bifurcation in the retailer's results this year."
	"This number, we’re feeling is comfortable based on the current AUM levels."
	And so the performance that’s required is significant.
	"And when I think and reflect on that, it's how much of the external noise that continues to come at a public company, yet the ability of how we manage that."
	It's something that's very important to us.
	Bill Katz Okay.
	[Operator Instructions] Our first question will come from the line of Mark Murphy from JPMorgan.
	"I think, what you said, there's a 7% to 8% reduction in revenue relative to some things that happened in 2019."
	And as the U.S. retail sales teams complete their integration.
	We added the Salesforce Blockchain.
	This same vigor has been applied in everything we've done over the past few years to continuously improve our operations and executional abilities.
	So there was previously referenced the announcement we got recently from Wirehouse expected to launch a program optional for participating asset managers on SMA products.
